Label,Area,Parameter,Aspect Ratio,Solidity,Eccentricity
A,6940306.0,25856.706743001938,0.8844339622641509,0.7562912155090836,0
A,8172385.5,27451.966290712357,0.75,0.7012344258457051,0
M,5471407.5,29843.031541585922,1.0359116022099448,0.6872806833807094,0
M,8642547.5,23557.89071714878,0.75,0.7294479537841873,0
